"schid","survdd","survmo","survyy","survhhst","survminst","gender","saveamt","end_saveamt","saving_attitude_index","end_saving_attitude_index","student_number_school","region_district","samp","new_column","date_time","samp_Aflatoun","samp_Control","samp_SFE"
"104","8","10","2010","12","40","Male",12,21,-0.906525475328116,0.348521959855433,"33","Western_2","Aflatoun",10433,"10/8/2010 12:40",1,0,0
"104","8","10","2010","10","15","Male",0,11,-1.86893120371167,-0.0684479630038319,"34","Western_2","Aflatoun",10434,"10/8/2010 10:15",1,0,0
"104","8","10","2010","12","55","Female",0,12,1.39422192346622,-0.843659418864721,"39","Western_2","Aflatoun",10439,"10/8/2010 12:55",1,0,0
"104","8","10","2010","10","45","Female",0,17,0.024145407507991,0.684501537717577,"36","Western_2","Aflatoun",10436,"10/8/2010 10:45",1,0,0
"104","8","10","2010","11","30","Male",20,20,0.024145407507991,0.891993094017383,"37","Western_2","Aflatoun",10437,"10/8/2010 11:30",1,0,0
"104","8","10","2010","12","55","Female",4,27,0.024145407507991,0.781592118483454,"38","Western_2","Aflatoun",10438,"10/8/2010 12:55",1,0,0
"104","8","10","2010","11","46","Male",3,11,-0.606880129565231,-2.51014047084841,"40","Western_2","Aflatoun",10440,"10/8/2010 11:46",1,0,0
"105","12","10","2010","12","40","Male",0,11,0.709183665487104,-0.0684479630038319,"24","Western_8","Aflatoun",10524,"10/12/2010 12:40",1,0,0
"105","12","10","2010","9","9","Female",0,12,1.39422192346622,0.0315520369961682,"01","Western_8","Aflatoun",10501,"10/12/2010 9:9",1,0,0
"105","12","10","2010","10","0","Female",0,57,1.39422192346622,1.64745044057493,"02","Western_8","Aflatoun",10502,"10/12/2010 10:0",1,0,0
"105","12","10","2010","10","48","Male",2,12,-0.156335584283557,0.728757658857692,"03","Western_8","Aflatoun",10503,"10/12/2010 10:48",1,0,0
"105","12","10","2010","11","53","Male",0.5,11,1.73674102693611,-0.217077925946115,"04","Western_8","Aflatoun",10504,"10/12/2010 11:53",1,0,0
"105","12","10","2010","8","59","Female",1,17,-0.606880129565231,0.0315520369961682,"05","Western_8","Aflatoun",10505,"10/12/2010 8:59",1,0,0
"105","12","10","2010","9","48","Female",0,12,-0.606880129565231,0.0946518157466509,"06","Western_8","Aflatoun",10506,"10/12/2010 9:48",1,0,0
"105","12","10","2010","8","26","Male",7,21,1.05170281999632,1.85660334494964,"07","Western_8","Aflatoun",10507,"10/12/2010 8:26",1,0,0
"105","12","10","2010","10","36","Female",0,12,0.024145407507991,0.0315520369961682,"08","Western_8","Aflatoun",10508,"10/12/2010 10:36",1,0,0
"105","12","10","2010","9","5","Male",0,14,-0.210348254150121,-1.15864913830268,"09","Western_8","Aflatoun",10509,"10/12/2010 9:5",1,0,0
"105","12","10","2010","9","53","Male",9,18.6,0.024145407507991,0.869969536941743,"10","Western_8","Aflatoun",10510,"10/12/2010 9:53",1,0,0
"105","12","10","2010","10","52","Female",5,12,0.024145407507991,0.389841938536761,"11","Western_8","Aflatoun",10511,"10/12/2010 10:52",1,0,0
"105","12","10","2010","11","47","Male",18,51,0.024145407507991,-0.38335760416187,"12","Western_8","Aflatoun",10512,"10/12/2010 11:47",1,0,0
"105","12","10","2010","10","52","Male",0,11,0.024145407507991,-2.12077012760564,"13","Western_8","Aflatoun",10513,"10/12/2010 10:52",1,0,0
"105","12","10","2010","9","8","Female",0.5,12,0.024145407507991,0.940866417466405,"14","Western_8","Aflatoun",10514,"10/12/2010 9:8",1,0,0
